3e 41 7d 59 7e 3f 7c 76 | 1101000 1011101 10010110
5c 4a 5f | 1100011 1101011 10000101 1010100
64 54 8a 82 4a 8a | 1000110 10000110 1010101
8d 47 8a | 1010110
67 3c 3d 7e 5f 60 89 4b | 1110110 111101 1011101 1110101 1001101 1001100 1111110 10001110
46 57 48 | 111100 1111010 111111
42 3d 63 73 89 62 | 1000001 1100011 10001110 1111100 1111000
60 85 7b 50 43 | 10010101 1101010
76 65 65 90 61 56 76 4f | 1110111 10010010 10000010 10001101 10010010
6a 7c 56 4f 6c | 1111011 1100011 1111001
3f 52 6f 69 | 10010110 1100110 10010101 1101010 1000011 1110010 1101111
4b 8b 92 70 7e 55 59 66 | 1101001
4c | 10000110 111100 10001001 1101110 111100 1110000
77 58 | 1111100
74 6d 7a 74 8d 4b 52 80 | 10010001 1011111 1101011 1111101 1100110 10000000
72 6d 8b | 111100 1101011 1111100 111111 1100010 10000000
8d 95 64 | 10010000 1100110 10000111 10010011 10000000 1100101
40 80 | 1111111 1000110 10000100 10001111
49 4b 3d 7b | 1110010 10001011 1001011 1001001 1101110
4d 4e 78 87 | 1110010 10000000 1010011 1010010 10001111 10001100 1000111
80 83 7b | 10010011 1011110 10000000 10000000 111110 1101011 10010101 10000000
89 92 | 1111011 1111010 10000100
8b 51 62 4b 8f 5e | 1111011 10010101 1101111 1101010 1011001 1010011 1010000 10001111
77 86 4a 89 | 1111101 1100110 111101 1010100 1110001
51 4f 63 42 | 1100111 1101100 1000100 1110001 1000110 10010000
47 4c 7c 7d 8e 95 | 10010001 1000011 111101 1010000 1111000 1000011
8e 5a 7b 69 5d 4b 6b | 1011110 1101010 1101001 1110011 1100011 1111101
6e | 10010100 1111011 1010111 1101110 1000000 10000000 1000011
52 6a 50 67 84 85 | 10000000 1010111
79 84 77 8a 45 7c 84 | 1101111 10001101 1001110 1101001 1011011 10000010
77 78 | 1101010 10010011 1011000 1110010 1011111 1010110 10010001
93 64 6e 68 8e 7f | 1111110 1010100 1000000 1101001 1100000 1010110 1010010
64 6e 78 | 100101100 11110
57 82 | 1011011 1000001 1110111
93 75 | 1000111 1011010 1100010
4c 60 52 7e 82 6c | 1001000
4e | 10000110 1110100 1011100 1101100
5e 7d 59 | 1101100 10010101 1100111
86 3c 58 | 1110000
93 60 90 77 55 67 48 64 | 1101111 1101100 1001100 1011111 1101010 1001101 10001111
