Vampires: 10, Zombies: 74, Witches: 40, Houses: 12
Vampires: 92, Zombies: 35, Witches: 20, Houses: 49
Vampires: 82, Zombies: 32, Witches: 22, Houses: 100
Vampires: 14, Zombies: 24, Witches: 9, Houses: 51
Vampires: 68, Zombies: 81, Witches: 63, Houses: 97
Vampires: 31, Zombies: 3, Witches: 47, Houses: 35
Vampires: 1, Zombies: 36, Witches: 27, Houses: 0
Vampires: 45, Zombies: 61, Witches: 81, Houses: 47
Vampires: 52, Zombies: 46, Witches: 77, Houses: 6
Vampires: 15, Zombies: 21, Witches: 32, Houses: 42
Vampires: 30, Zombies: 58, Witches: 81, Houses: 25
Vampires: 13, Zombies: 62, Witches: 44, Houses: 18
Vampires: 4, Zombies: 82, Witches: 21, Houses: 9
Vampires: 87, Zombies: 12, Witches: 82, Houses: 92
Vampires: 96, Zombies: 26, Witches: 70, Houses: 9
Vampires: 0, Zombies: 95, Witches: 79, Houses: 66
Vampires: 70, Zombies: 55, Witches: 22, Houses: 0
Vampires: 66, Zombies: 44, Witches: 85, Houses: 81
Vampires: 8, Zombies: 65, Witches: 55, Houses: 55
Vampires: 62, Zombies: 76, Witches: 53, Houses: 29
Vampires: 36, Zombies: 56, Witches: 40, Houses: 15
Vampires: 21, Zombies: 36, Witches: 51, Houses: 36
Vampires: 86, Zombies: 21, Witches: 33, Houses: 41
Vampires: 81, Zombies: 8, Witches: 80, Houses: 94
Vampires: 73, Zombies: 16, Witches: 89, Houses: 95
Vampires: 17, Zombies: 2, Witches: 17, Houses: 56
Vampires: 87, Zombies: 33, Witches: 74, Houses: 64
Vampires: 34, Zombies: 64, Witches: 98, Houses: 70
Vampires: 51, Zombies: 17, Witches: 75, Houses: 93
Vampires: 48, Zombies: 45, Witches: 7, Houses: 93
Vampires: 42, Zombies: 93, Witches: 72, Houses: 41
Vampires: 19, Zombies: 9, Witches: 70, Houses: 60
Vampires: 15, Zombies: 52, Witches: 77, Houses: 84
Vampires: 34, Zombies: 64, Witches: 1, Houses: 84
Vampires: 89, Zombies: 63, Witches: 22, Houses: 73
Vampires: 16, Zombies: 99, Witches: 30, Houses: 10
Vampires: 78, Zombies: 49, Witches: 29, Houses: 34
Vampires: 90, Zombies: 37, Witches: 16, Houses: 37
Vampires: 40, Zombies: 66, Witches: 99, Houses: 42
Vampires: 90, Zombies: 10, Witches: 60, Houses: 52
